id,video_belong_id,video_id
7074dec2be640b161f4c52b5db05e5ca,mzc00200iseomew,mzc00200wxc9ptm
d6ef979ba9cf3051c042fd39b8c5f0a5,mzc00200iseomew,9z88hz9qwugb8p1
51a965435813d33671b9da8b744b7fd6,mzc00200iseomew,qp39m3l9upxl08a
834f96823ed2a7820207dada85d63be1,mzc00200iseomew,mzc00200zkxs5e0
772f9de4b3b955f32ac52787ef3c89df,mzc00200iseomew,236vbmsdok9mcb6
723734149f014039955f1c97582eb597,mzc00200iseomew,dffzoa6jllk79jm
a816ce9721a24fac4460cc2fadfbef45,mzc00200iseomew,dp7xratybwrdjfl
a58328dd0bc79605ef93b396fb5619d6,mzc00200iseomew,mzc00200x3fzrcb
66a75f6553a0a7f7789af39f7e7056d2,mzc00200iseomew,jciqke9dyg8pfpv
bfeb10af1227d7c5e0e0529e391f172c,mzc00200iseomew,l1jc8hzubf6wz99
2bb1235a8e0dfe1405416df96a1c5e8a,mzc00200iseomew,bhp6pgqj2fyj4h9
183ea0eee5d6235d41e2d66ff46b0d19,mzc00200iseomew,8pl66isxpt8jxbw
6ba4e55a43333388e7d87956a046c9cf,mzc00200iseomew,lc2a6fi2osbbedd
3c2997319be05d6ecb080601c3626295,mzc00200iseomew,8qum8ikxii7b0ky
cade8ce285499e9dc78b7fc63ced4f0b,co47xqkusidzo41,mzc00200ggmetwl
fce12872b295bda1a31f978e87bd2e7c,co47xqkusidzo41,mzc002009dxfw0e
bc80a9b1df2195e7aa4aaec2e0e61bbe,co47xqkusidzo41,mzc00200eb45fcg
521ef0d1bfe7d3eabffa446869260db3,co47xqkusidzo41,mzc00200v894u7p
70c9146420a61a3d80cec40705c1885b,co47xqkusidzo41,mzc00200qlcbjei
93a638588ca9ba9c55e873b584935ca2,co47xqkusidzo41,4e4r3amfp1qzppm
4d5a68550f66dba3aadec63e5c3e1ccf,co47xqkusidzo41,rehcrnwfbe7w62v
5c40eec003bdb8d27c0785fba8a34fdc,co47xqkusidzo41,n0qu8qfcjbdo4zs
a2730af700bccc349ecd43aa65bf9ab0,co47xqkusidzo41,huckxwr3cz2sh8p
50febbb3e795615e5031169928c8302c,co47xqkusidzo41,tx12sqjba6qlkcj
99af3386def8a988c973135c5f087526,co47xqkusidzo41,mzc00200nsdwdiw
84195ed5ab43b89578cdba0860be79a6,co47xqkusidzo41,mdweudbooff4i3l
cf2b44d81659d509cc79938980dbaf11,co47xqkusidzo41,c16ltgp6rmfyljx
da334e191c6af467be6582c3237b18f5,co47xqkusidzo41,1l6r7zhz4i7677g
ac70e2bcc2b3f819d73d9efae51ce5cf,nq4sjurk1ohpw45,mzc00200efur7b4
545716ee0b26dedc80b4f2630a502dd5,nq4sjurk1ohpw45,zehczv7cap99gs8
